Admin1,Crop,Area,Rank,Label
West Bengal,rice,5642552.18972923,1,West Bengal-26-1
West Bengal,other fibre crops,585310.299806118,2,West Bengal-15-2
West Bengal,potato,449286.500467554,3,West Bengal-23-3
West Bengal,rapeseed,446496.8996884,4,West Bengal-24-4
West Bengal,wheat,321516.300019294,5,West Bengal-40-5
West Bengal,sesameseed,193658.899662517,6,West Bengal-27-6
West Bengal,tea,191161.300018378,7,West Bengal-35-7
West Bengal,tropical fruit,139565.600069985,8,West Bengal-38-8
West Bengal,maize,98075.9998733401,9,West Bengal-13-9
West Bengal,banana,62634.9998001382,10,West Bengal-2-10
West Bengal,groundnut,56944.4001603872,11,West Bengal-11-11
West Bengal,lentil,52885.6000808254,12,West Bengal-12-12
West Bengal,bean,44933.4000493288,13,West Bengal-4-13
West Bengal,other pulses,43783.8999171704,14,West Bengal-18-14
West Bengal,coconut,27151.3002195358,15,West Bengal-7-15
West Bengal,chickpea,24990.7000693977,16,West Bengal-6-16
West Bengal,sweet potato,24588.4999382496,17,West Bengal-34-17
West Bengal,vegetables,17061.4999630377,18,West Bengal-39-18
West Bengal,small millet,15873.0999574661,19,West Bengal-28-19
West Bengal,sugarcane,15798.5999950171,20,West Bengal-32-20
West Bengal,tobacco,12366.3000325859,21,West Bengal-37-21
West Bengal,other oil crops,11701.0001157746,22,West Bengal-17-22
West Bengal,sunflower,7878.99994641543,23,West Bengal-33-23
West Bengal,cotton,5216.69998557866,24,West Bengal-9-24
West Bengal,barley,2397.19999635965,25,West Bengal-3-25
West Bengal,sorghum,1446.6000007093,26,West Bengal-29-26
West Bengal,pigeonpea,927.400001846254,27,West Bengal-20-27
West Bengal,soybean,539.80000051111,28,West Bengal-30-28
West Bengal,pearl millet,68.0000003129244,29,West Bengal-22-29
West Bengal,temperate fruit,56.1999983787537,30,West Bengal-36-30
West Bengal,arabica coffee,0,,West Bengal-1-NA
West Bengal,cassava,0,,West Bengal-5-NA
West Bengal,cocoa,0,,West Bengal-8-NA
West Bengal,cowpea,0,,West Bengal-10-NA
West Bengal,other cereals,0,,West Bengal-14-NA
West Bengal,oilpalm,0,,West Bengal-16-NA
West Bengal,other roots,0,,West Bengal-19-NA
West Bengal,plantain,0,,West Bengal-21-NA
West Bengal,robusta coffee,0,,West Bengal-25-NA
West Bengal,sugarbeet,0,,West Bengal-31-NA
West Bengal,yams,0,,West Bengal-41-NA
Uttar Pradesh,wheat,9525754.89276682,1,Uttar Pradesh-40-1
Uttar Pradesh,rice,5590723.5988609,2,Uttar Pradesh-26-2
Uttar Pradesh,sugarcane,2028910.30080245,3,Uttar Pradesh-32-3
Uttar Pradesh,pearl millet,841421.20122347,4,Uttar Pradesh-22-4
Uttar Pradesh,maize,798671.600303181,5,Uttar Pradesh-13-5
Uttar Pradesh,rapeseed,690244.900359824,6,Uttar Pradesh-24-6
Uttar Pradesh,bean,641659.499068268,7,Uttar Pradesh-4-7
Uttar Pradesh,chickpea,626175.50025446,8,Uttar Pradesh-6-8
Uttar Pradesh,potato,620446.300555833,9,Uttar Pradesh-23-9
Uttar Pradesh,lentil,561697.099879101,10,Uttar Pradesh-12-10
Uttar Pradesh,other pulses,412640.199604094,11,Uttar Pradesh-18-11
Uttar Pradesh,pigeonpea,328014.50026004,12,Uttar Pradesh-20-12
Uttar Pradesh,tropical fruit,304777.800238609,13,Uttar Pradesh-38-13
Uttar Pradesh,sesameseed,276583.399631202,14,Uttar Pradesh-27-14
Uttar Pradesh,sorghum,196396.100172445,15,Uttar Pradesh-29-15
Uttar Pradesh,barley,174518.400071882,16,Uttar Pradesh-3-16
Uttar Pradesh,vegetables,165344.900186352,17,Uttar Pradesh-39-17
Uttar Pradesh,groundnut,87279.2000873536,18,Uttar Pradesh-11-18
Uttar Pradesh,other oil crops,37008.100003615,19,Uttar Pradesh-17-19
Uttar Pradesh,tobacco,20286.8000828624,20,Uttar Pradesh-37-20
Uttar Pradesh,sweet potato,19157.7000041455,21,Uttar Pradesh-34-21
Uttar Pradesh,soybean,12904.7998954281,22,Uttar Pradesh-30-22
Uttar Pradesh,small millet,10696.1000606492,23,Uttar Pradesh-28-23
Uttar Pradesh,cotton,5461.19998402894,24,Uttar Pradesh-9-24
Uttar Pradesh,sunflower,4405.90000442416,25,Uttar Pradesh-33-25
Uttar Pradesh,banana,3306.69998316467,26,Uttar Pradesh-2-26
Uttar Pradesh,other fibre crops,2521.5000026077,27,Uttar Pradesh-15-27
Uttar Pradesh,temperate fruit,1032.79995107651,28,Uttar Pradesh-36-28
Uttar Pradesh,other roots,4.90000009536743,29,Uttar Pradesh-19-29
Uttar Pradesh,arabica coffee,0.600000023841858,30,Uttar Pradesh-1-30
Uttar Pradesh,cassava,0.100000001490116,31,Uttar Pradesh-5-31
Uttar Pradesh,coconut,0,,Uttar Pradesh-7-NA
Uttar Pradesh,cocoa,0,,Uttar Pradesh-8-NA
Uttar Pradesh,cowpea,0,,Uttar Pradesh-10-NA
Uttar Pradesh,other cereals,0,,Uttar Pradesh-14-NA
Uttar Pradesh,oilpalm,0,,Uttar Pradesh-16-NA
Uttar Pradesh,plantain,0,,Uttar Pradesh-21-NA
Uttar Pradesh,robusta coffee,0,,Uttar Pradesh-25-NA
Uttar Pradesh,sugarbeet,0,,Uttar Pradesh-31-NA
Uttar Pradesh,tea,0,,Uttar Pradesh-35-NA
Uttar Pradesh,yams,0,,Uttar Pradesh-41-NA
Punjab,wheat,3170559.90162659,1,Punjab-40-1
Punjab,rice,2443207.3029297,2,Punjab-26-2
Punjab,vegetables,777904.199762821,3,Punjab-39-3
Punjab,cotton,551442.999132998,4,Punjab-9-4
Punjab,maize,147555.800041929,5,Punjab-13-5
Punjab,potato,96561.1997899413,6,Punjab-23-6
Punjab,tropical fruit,58289.5998746157,7,Punjab-38-7
Punjab,rapeseed,31445.3000260964,8,Punjab-24-8
Punjab,bean,14505.1999974251,9,Punjab-4-9
Punjab,barley,14084.6000004709,10,Punjab-3-10
Punjab,sunflower,12403.6999781281,11,Punjab-33-11
Punjab,temperate fruit,10083.1000244617,12,Punjab-36-12
Punjab,sugarcane,7090.50003179163,13,Punjab-32-13
Punjab,pearl millet,6716.59999340773,14,Punjab-22-14
Punjab,sesameseed,5765.39999908954,15,Punjab-27-15
Punjab,pigeonpea,4163.1999970451,16,Punjab-20-16
Punjab,chickpea,4117.29999622703,17,Punjab-6-17
Punjab,other pulses,3517.39999184012,18,Punjab-18-18
Punjab,small millet,2936.30002212524,19,Punjab-28-19
Punjab,groundnut,2473.59999873489,20,Punjab-11-20
Punjab,other oil crops,1156.80000035465,21,Punjab-17-21
Punjab,lentil,1038.49999690801,22,Punjab-12-22
Punjab,sorghum,95.3000013008714,23,Punjab-29-23
Punjab,banana,0.400000005960465,24,Punjab-2-24
Punjab,arabica coffee,0,,Punjab-1-NA
Punjab,cassava,0,,Punjab-5-NA
Punjab,coconut,0,,Punjab-7-NA
Punjab,cocoa,0,,Punjab-8-NA
Punjab,cowpea,0,,Punjab-10-NA
Punjab,other cereals,0,,Punjab-14-NA
Punjab,other fibre crops,0,,Punjab-15-NA
Punjab,oilpalm,0,,Punjab-16-NA
Punjab,other roots,0,,Punjab-19-NA
Punjab,plantain,0,,Punjab-21-NA
Punjab,robusta coffee,0,,Punjab-25-NA
Punjab,soybean,0,,Punjab-30-NA
Punjab,sugarbeet,0,,Punjab-31-NA
Punjab,sweet potato,0,,Punjab-34-NA
Punjab,tea,0,,Punjab-35-NA
Punjab,tobacco,0,,Punjab-37-NA
Punjab,yams,0,,Punjab-41-NA
Haryana,wheat,2452218.59652978,1,Haryana-40-1
Haryana,rice,1198417.20104653,2,Haryana-26-2
Haryana,pearl millet,605593.099129871,3,Haryana-22-3
Haryana,rapeseed,547491.901452519,4,Haryana-24-4
Haryana,cotton,534108.700423695,5,Haryana-9-5
Haryana,chickpea,116144.499918342,6,Haryana-6-6
Haryana,sugarcane,81974.8998370171,7,Haryana-32-7
Haryana,sorghum,81735.3001246899,8,Haryana-29-8
Haryana,barley,45891.5999323875,9,Haryana-3-9
Haryana,bean,43814.2998907343,10,Haryana-4-10
Haryana,tropical fruit,27044.0003051758,11,Haryana-38-11
Haryana,pigeonpea,25107.0000253692,12,Haryana-20-12
Haryana,vegetables,15798.2000136375,13,Haryana-39-13
Haryana,potato,14372.9999649823,14,Haryana-23-14
Haryana,maize,12574.9999046028,15,Haryana-13-15
Haryana,lentil,4461.10001854599,16,Haryana-12-16
Haryana,sunflower,3646.09999409318,17,Haryana-33-17
Haryana,temperate fruit,3256.60009765625,18,Haryana-36-18
Haryana,sesameseed,3249.90001479536,19,Haryana-27-19
Haryana,other pulses,2468.39999062568,20,Haryana-18-20
Haryana,groundnut,1772.90003303438,21,Haryana-11-21
Haryana,other oil crops,1730.69998723269,22,Haryana-17-22
Haryana,other fibre crops,180.399999409914,23,Haryana-15-23
Haryana,tobacco,6.60000009834766,24,Haryana-37-24
Haryana,soybean,2.10000003129244,25,Haryana-30-25
Haryana,arabica coffee,0,,Haryana-1-NA
Haryana,banana,0,,Haryana-2-NA
Haryana,cassava,0,,Haryana-5-NA
Haryana,coconut,0,,Haryana-7-NA
Haryana,cocoa,0,,Haryana-8-NA
Haryana,cowpea,0,,Haryana-10-NA
Haryana,other cereals,0,,Haryana-14-NA
Haryana,oilpalm,0,,Haryana-16-NA
Haryana,other roots,0,,Haryana-19-NA
Haryana,plantain,0,,Haryana-21-NA
Haryana,robusta coffee,0,,Haryana-25-NA
Haryana,small millet,0,,Haryana-28-NA
Haryana,sugarbeet,0,,Haryana-31-NA
Haryana,sweet potato,0,,Haryana-34-NA
Haryana,tea,0,,Haryana-35-NA
Haryana,yams,0,,Haryana-41-NA
Bihar,rice,3376449.99944001,1,Bihar-26-1
Bihar,wheat,2090014.10041466,2,Bihar-40-2
Bihar,maize,703558.399558902,3,Bihar-13-3
Bihar,bean,319942.100264214,4,Bihar-4-4
Bihar,tropical fruit,197603.100006104,5,Bihar-38-5
Bihar,potato,175781.30006513,6,Bihar-23-6
Bihar,lentil,165196.399791844,7,Bihar-12-7
Bihar,other fibre crops,153811.200202338,8,Bihar-15-8
Bihar,sugarcane,106379.800180428,9,Bihar-32-9
Bihar,rapeseed,96074.0998734608,10,Bihar-24-10
Bihar,vegetables,80674.7999539748,11,Bihar-39-11
Bihar,chickpea,69229.0000350773,12,Bihar-6-12
Bihar,other oil crops,32449.5000900328,13,Bihar-17-13
Bihar,pigeonpea,32209.8000632376,14,Bihar-20-14
Bihar,banana,26273.9999560416,15,Bihar-2-15
Bihar,other pulses,20370.2000358179,16,Bihar-18-16
Bihar,small millet,18904.7000081688,17,Bihar-28-17
Bihar,barley,17159.2000024319,18,Bihar-3-18
Bihar,sunflower,14355.7999677435,19,Bihar-33-19
Bihar,tobacco,13199.8999928385,20,Bihar-37-20
Bihar,pearl millet,3737.50002154708,21,Bihar-22-21
Bihar,sorghum,3691.69998992235,22,Bihar-29-22
Bihar,sesameseed,3085.29999211431,23,Bihar-27-23
Bihar,groundnut,1660.00000131875,24,Bihar-11-24
Bihar,sweet potato,464.80000692606,25,Bihar-34-25
Bihar,temperate fruit,266.700012207031,26,Bihar-36-26
Bihar,other roots,67.0000030398369,27,Bihar-19-27
Bihar,soybean,47.2999992519617,28,Bihar-30-28
Bihar,other cereals,1.10000002384186,29,Bihar-14-29
Bihar,arabica coffee,0,,Bihar-1-NA
Bihar,cassava,0,,Bihar-5-NA
Bihar,coconut,0,,Bihar-7-NA
Bihar,cocoa,0,,Bihar-8-NA
Bihar,cotton,0,,Bihar-9-NA
Bihar,cowpea,0,,Bihar-10-NA
Bihar,oilpalm,0,,Bihar-16-NA
Bihar,plantain,0,,Bihar-21-NA
Bihar,robusta coffee,0,,Bihar-25-NA
Bihar,sugarbeet,0,,Bihar-31-NA
Bihar,tea,0,,Bihar-35-NA
Bihar,yams,0,,Bihar-41-NA
